MovieId,CustomerId,ViewedOn
3120,152,2/24/2019 14:00
1561,207,3/15/2019 9:00
1725,177,10/22/2019 0:00
1326,305,8/9/2018 17:00
1466,88,11/7/2018 17:00
1673,387,12/25/2018 15:00
1860,172,12/10/2018 20:00
2791,206,7/30/2018 10:00
4154,412,7/24/2018 10:00
4005,177,10/14/2019 8:00
2170,297,5/22/2019 0:00
3453,166,3/19/2018 19:00
2338,398,1/17/2019 8:00
401,223,8/5/2018 13:00
1232,321,8/21/2018 13:00
63,268,10/1/2018 11:00
1148,147,8/24/2019 22:00
4335,232,3/14/2019 13:00
1737,18,8/31/2018 23:00
711,16,3/3/2018 9:00
3643,399,8/28/2019 12:00
230,70,2/15/2019 9:00
2478,466,12/10/2018 8:00
4393,173,9/27/2018 11:00
2564,365,3/15/2018 13:00
1979,385,8/10/2018 11:00
580,425,1/14/2018 14:00
1422,490,5/30/2018 14:00
3717,289,3/6/2018 23:00
1858,414,3/17/2018 12:00
2862,58,3/21/2018 14:00
1284,331,7/7/2018 17:00
3478,179,10/1/2019 8:00
2402,32,9/26/2018 20:00
3360,403,1/15/2019 13:00
3401,371,8/30/2019 22:00
3138,280,6/29/2018 8:00
3149,494,3/21/2018 0:00
4368,472,11/19/2019 23:00
737,240,8/21/2018 11:00
2759,191,9/10/2018 11:00
1457,8,7/10/2019 18:00
2748,296,6/12/2019 22:00
2106,483,4/30/2019 17:00
3111,469,5/20/2019 22:00
3506,159,1/29/2018 19:00
3085,480,2/22/2018 12:00
419,448,11/15/2018 8:00
790,52,4/1/2018 19:00
4327,298,5/16/2019 15:00
3081,37,2/1/2019 18:00
149,482,3/15/2018 10:00
2553,169,10/30/2018 23:00
3286,47,10/20/2018 12:00
2722,66,7/18/2019 9:00
2115,346,7/15/2018 0:00
1264,100,10/11/2019 22:00
1629,322,4/13/2019 21:00
1746,78,8/8/2018 22:00
3281,297,5/24/2018 14:00
3748,478,9/12/2019 13:00
2305,40,7/21/2018 12:00
821,329,9/3/2018 8:00
2819,249,3/20/2019 16:00
2978,40,2/28/2018 14:00
2046,56,5/22/2018 19:00
3231,306,9/8/2018 17:00
3332,267,4/14/2018 14:00
3789,489,2/3/2019 22:00
1511,153,4/4/2018 13:00
4121,21,11/6/2018 0:00
1325,112,4/20/2019 22:00
1619,429,4/8/2018 0:00
579,278,12/6/2018 17:00
3145,447,3/16/2018 16:00
3050,187,7/12/2019 13:00
1566,44,10/30/2019 20:00
2240,313,4/25/2018 11:00
2834,353,5/31/2018 9:00
1734,293,11/15/2018 20:00
3246,211,10/13/2019 18:00
819,94,9/7/2018 19:00
3294,241,4/19/2019 22:00
3949,32,8/26/2019 19:00
3572,341,9/7/2019 8:00
2840,212,5/14/2019 12:00
1291,215,8/30/2019 0:00
893,312,8/8/2019 21:00
3155,269,7/16/2018 10:00
2246,464,8/27/2019 18:00
1266,377,5/3/2018 22:00
3834,36,7/6/2019 13:00
2776,179,11/5/2019 23:00
538,268,9/20/2019 21:00
363,495,4/4/2019 12:00
1485,227,4/2/2019 10:00
2132,85,8/19/2018 19:00
1039,4,2/1/2019 9:00
4346,286,8/3/2018 20:00
3291,84,3/23/2019 18:00
2186,68,3/31/2019 22:00
1335,126,2/7/2018 16:00
4102,458,8/8/2019 17:00
671,73,5/20/2019 12:00
3434,171,7/10/2018 9:00
1439,454,1/5/2018 22:00
2201,396,8/23/2018 0:00
1787,237,10/17/2019 21:00
3392,459,3/25/2019 20:00
2092,227,11/28/2018 20:00
301,327,2/5/2019 15:00
3854,272,12/16/2018 23:00
983,139,3/5/2018 8:00
1322,220,8/16/2018 21:00
596,455,7/26/2018 0:00
3255,134,9/22/2019 0:00
2604,84,2/28/2018 15:00
2513,75,9/11/2019 0:00
353,382,12/21/2018 17:00
126,238,4/10/2018 17:00
2410,226,7/23/2019 0:00
1615,391,3/17/2018 12:00
1352,101,6/24/2019 15:00
3987,444,9/4/2019 23:00
3318,414,4/1/2018 9:00
3241,233,7/22/2018 23:00
836,279,5/9/2018 13:00
3452,5,8/13/2019 10:00
2458,464,6/24/2018 18:00
1403,299,2/9/2018 0:00
555,252,6/19/2018 18:00
2540,487,11/18/2019 17:00
2594,92,10/30/2018 23:00
1743,446,11/14/2019 0:00
2588,386,3/11/2018 18:00
166,478,3/1/2019 13:00
2635,356,12/29/2018 16:00
2034,221,12/13/2018 15:00
4341,185,2/10/2019 9:00
4335,218,6/2/2018 17:00
3360,221,7/3/2019 18:00
3986,304,7/7/2018 16:00
3514,252,8/18/2018 17:00
155,240,10/15/2018 10:00
1388,249,9/24/2018 8:00
3690,461,9/10/2018 17:00
3763,15,3/2/2019 13:00
3252,299,1/12/2019 11:00
3922,445,7/25/2018 8:00
4025,430,11/12/2019 12:00
3840,252,11/12/2018 13:00
2345,146,1/26/2019 11:00
2600,110,11/20/2018 12:00
2026,105,6/24/2019 19:00
4197,299,10/29/2019 9:00
4391,37,7/27/2018 12:00
4254,157,1/12/2018 14:00
4103,144,6/2/2019 15:00
4031,30,6/12/2018 14:00
985,356,1/27/2018 14:00
3140,34,1/14/2019 22:00
824,482,10/7/2019 19:00
2661,119,8/5/2019 23:00
2542,301,5/12/2018 0:00
1815,56,8/8/2019 23:00
3269,485,11/2/2019 9:00
1118,213,1/30/2019 9:00
3404,69,1/21/2018 12:00
2881,258,8/10/2018 20:00
1205,86,4/22/2018 16:00
406,41,6/9/2019 19:00
454,349,11/19/2018 22:00
1774,445,9/16/2019 20:00
3077,214,6/9/2018 15:00
1133,393,10/31/2018 22:00
3850,78,9/19/2019 0:00
1444,298,6/13/2018 18:00
1269,468,3/10/2019 22:00
1382,302,3/24/2018 9:00
1785,125,2/25/2018 19:00
3640,204,10/5/2018 17:00
3293,242,7/23/2019 20:00
2078,245,10/19/2019 22:00
4349,230,2/7/2019 12:00
3353,11,12/23/2018 16:00
2505,341,5/26/2018 17:00
2121,213,7/30/2018 15:00
4393,154,9/25/2018 19:00
4083,300,5/27/2019 15:00
525,191,6/13/2018 14:00
2831,49,10/11/2018 22:00
920,90,11/11/2019 13:00
3074,159,8/20/2019 18:00
1160,327,1/10/2018 17:00
1606,331,10/22/2019 14:00
1711,253,1/16/2018 23:00
1944,118,4/4/2018 17:00
2395,365,2/6/2019 21:00
4037,330,9/16/2018 21:00
4328,82,5/18/2018 9:00
560,117,2/28/2019 22:00
4217,257,10/6/2018 0:00
2678,157,9/13/2018 22:00
1252,74,10/9/2018 10:00
4431,376,1/3/2018 23:00
2163,122,7/9/2018 20:00
4036,327,6/3/2019 20:00
3438,341,7/6/2019 0:00
1572,241,3/20/2019 19:00
1698,134,9/26/2018 9:00
4317,352,3/31/2019 11:00
4163,90,4/10/2018 11:00
1951,91,6/2/2019 9:00
1273,339,4/30/2018 19:00
1369,287,10/23/2019 17:00
90,265,7/1/2018 8:00
2677,461,3/19/2018 11:00
1003,248,12/5/2018 20:00
1455,375,1/23/2019 10:00
3296,271,6/14/2019 22:00
3301,47,10/21/2018 13:00
1697,153,5/17/2019 8:00
1482,363,5/28/2018 21:00
3468,24,1/7/2018 21:00
3333,199,8/1/2018 22:00
1617,19,12/1/2018 18:00
2400,240,11/8/2018 12:00
1404,179,5/15/2019 23:00
3536,195,9/20/2019 12:00
2480,98,9/7/2018 12:00
210,270,4/11/2018 8:00
1046,394,11/1/2018 23:00
1290,37,12/4/2018 16:00
278,256,1/12/2018 13:00
2388,40,9/1/2019 10:00
754,313,4/21/2019 12:00
1129,303,3/14/2019 12:00
3654,215,5/28/2018 11:00
2747,1,6/1/2019 0:00
765,233,9/22/2018 21:00
1828,430,7/2/2019 23:00
3161,91,5/26/2019 23:00
3828,187,6/1/2018 15:00
1127,13,10/20/2019 23:00
1475,232,7/17/2019 22:00
4392,216,11/14/2019 17:00
3354,389,6/26/2019 14:00
362,376,3/24/2018 14:00
2586,8,2/8/2019 16:00
2023,146,10/17/2019 23:00
3718,155,5/13/2018 13:00
961,53,5/10/2019 17:00
917,209,5/3/2019 11:00
4361,232,11/20/2019 22:00
1188,19,3/1/2019 8:00
586,226,5/29/2019 9:00
4252,494,6/2/2018 14:00
3693,397,10/27/2019 13:00
1529,87,4/27/2019 0:00
973,362,6/15/2018 14:00
2537,169,2/1/2018 0:00
2714,198,8/14/2018 13:00
276,289,10/6/2018 22:00
672,384,11/24/2019 9:00
1366,197,6/16/2018 21:00
313,273,2/28/2019 15:00
1422,349,8/27/2019 12:00
2530,144,7/22/2018 21:00
1851,250,11/2/2019 16:00
813,70,4/5/2019 12:00
1205,225,8/8/2018 10:00
602,66,6/9/2018 17:00
2498,300,11/12/2019 14:00
2462,36,11/7/2019 23:00
4013,84,11/23/2018 20:00
4065,295,4/29/2018 8:00
2040,49,11/16/2019 18:00
4405,148,4/7/2019 10:00
