FullName
CCH Pounder
Johnny Depp
Christoph Waltz
Tom Hardy
Daryl Sabara
J.K. Simmons
Brad Garrett
Chris Hemsworth
Alan Rickman
Henry Cavill
Kevin Spacey
Giancarlo Giannini
Peter Dinklage
Will Smith
Aidan Turner
Emma Stone
Mark Addy
Christopher Lee
Naomi Watts
Leonardo DiCaprio
Robert Downey Jr.
Liam Neeson
Bryce Dallas Howard
Albert Finney
Hugh Jackman
Steve Buscemi
Glenn Morshower
Bingbing Li
Jeff Bridges
Joe Mantegna
Ryan Reynolds
Tom Hanks
Christian Bale
Jason Statham
Peter Capaldi
Jennifer Lawrence
Benedict Cumberbatch
Eddie Marsan
Jake Gyllenhaal
Charlie Hunnam
Harrison Ford
A.J. Buckley
Kelly Macdonald
Sofia Boutella
John Ratzenberger
Tzi Ma
Oliver Platt
Channing Tatum
Jim Broadbent
Chlo?Æ Grace Moretz
Jet Li
Jimmy Bennett
Tom Cruise
Jeanne Tripplehorn
Joseph Gordon-Levitt
Amy Poehler
Scarlett Johansson
Angelina Jolie Pitt
Gary Oldman
Tamsin Egerton
Keanu Reeves
Jon Hamm
Judy Greer
Damon Wayans Jr.
Jack McBrayer
Vivica A. Fox
Gerard Butler
Nick Stahl
Bradley Cooper
Matthew McConaughey
Paul Walker
Brad Pitt
Nicolas Cage
Justin Timberlake
Dominic Cooper
Bruce Spence
Jennifer Garner
Zack Ward
Anthony Hopkins
Robert Pattinson
Janeane Garofalo
Bernie Mac
Robin Williams
Essie Davis
Josh Gad
Steve Bastoni
Kelli Garner
Matthew Broderick
Seychelle Gabriel
Philip Seymour Hoffman
Elisabeth Harnois
Ty Burrell
Jada Pinkett Smith
Toby Stephens
Ed Begley Jr.
Bruce Willis
Robin Wright
John Michael Higgins
Sam Shepard
Matt Frewer
Kevin Rankin
Chris Evans
Colin Salmon
James D'Arcy
Mark Rylance
Matt Damon
Jim Parsons
Toby Jones
Daniel Radcliffe
Alfre Woodard
Miguel Ferrer
Ronny Cox
Tony Curran
Jeremy Renner
Michael Gough
Clint Howard
Karen Allen
Suraj Sharma
Demi Moore
Michael Fassbender
Nathan Lane
Vin Diesel
Scott Porter
Shelley Conn
Morgan Freeman
Natalie Portman
Alain Delon
Noel Fisher
Phaldut Sharma
Jamie Ren??e Smith
Stephen Amell
Tim Blake Nelson
Dwayne Johnson
Vincent Schiavelli
Heath Ledger
Kate Winslet
James Corden
Eva Green
