FullName
James Cameron
Gore Verbinski
Sam Mendes
Christopher Nolan
Andrew Stanton
Sam Raimi
Nathan Greno
Joss Whedon
David Yates
Zack Snyder
Bryan Singer
Marc Forster
Andrew Adamson
Rob Marshall
Barry Sonnenfeld
Peter Jackson
Marc Webb
Ridley Scott
Chris Weitz
Anthony Russo
Peter Berg
Colin Trevorrow
Shane Black
Tim Burton
Brett Ratner
Dan Scanlon
Michael Bay
Joseph Kosinski
John Lasseter
Martin Campbell
Lee Unkrich
McG
James Wan
J.J. Abrams
Baz Luhrmann
Mike Newell
Guillermo del Toro
Steven Spielberg
Peter Sohn
Mark Andrews
Justin Lin
Roland Emmerich
Lana Wachowski
Pete Docter
Jon Favreau
Martin Scorsese
Rob Cohen
David Ayer
Tom Shadyac
Doug Liman
Kevin Reynolds
Stephen Sommers
Rupert Sanders
Robert Stromberg
Matt Reeves
Roland Joff??
Carl Rinsch
Mike Mitchell
Brad Bird
Don Hall
Rich Moore
Robert Zemeckis
Dean DeBlois
Jonathan Mostow
James Gunn
David Fincher
Matthew Vaughn
Francis Lawrence
Jon Turteltaub
Wolfgang Petersen
Chris Miller
Duncan Jones
Alan Taylor
Michael Apted
Oliver Stone
Eric Darnell
Shawn Levy
Gavin Hood
Chris Buck
George Miller
Ron Howard
Kenneth Branagh
Byron Howard
Hoyt Yeatman
Jonathan Liebesman
Christopher McQuarrie
Joe Johnston
Steve Hickner
Jennifer Yuh Nelson
M. Night Shyamalan
Simon Wells
David Bowers
Joe Wright
Rob Minkoff
Lee Tamahori
Paul Feig
Alessandro Carloni
Peter Ramsey
Dean Parisot
Edward Zwick
Alex Proyas
Richard Donner
Ang Lee
Jon M. Chu
Breck Eisner
Hironobu Sakaguchi
Peter Weir
Bill Condon
Louis Leterrier
Alejandro G. I?Ò?≠rritu
David Soren
Paul Greengrass
Mark Osborne
Peyton Reed
Tim Johnson
Phillip Noyce
Darren Aronofsky
Alfonso Cuar??n
Eric Leighton
Tom McGrath
Robert Schwentke
Carlos Saldanha
Guy Ritchie
Paul Verhoeven
John McTiernan
Tony Gilroy
Joel Schumacher
John Woo
Tim Story
Mark Steven Johnson
Neill Blomkamp
David Twohy
Jos?? Padilha
James L. Brooks
James Mangold
George Lucas
Kirk De Micco
Fr??d??ric Forestier
Cedric Nicolas-Troyan
Roger Donaldson
Dave Green
Josh Trank
Brad Peyton
Roger Spottiswoode
Steven Soderbergh
Rob Letterman
Michel Gondry
Noam Murro
Raja Gosnell
Will Finn
Jan de Bont
Len Wiseman
Frank Coraci
Michael Mann
Bo Welch
Ron Clements
Peter Chelsom
Dominic Sena
Chris Columbus
Tony Scott
Paul Weitz
Adam McKay
Chuck Russell
Quentin Tarantino
Gary Trousdale
Mark Dindal
Simon West
Stefen Fangmeier
Spike Jonze
Chris Wedge
Florian Henckel von Donnersmarck
Peter Hyams
Tom Tykwer
Pitof
Brad Silberling
Patrick Hughes
Ericson Core
Lawrence Guterman
Ron Underwood
Steve Martino
David Mamet
Yimou Zhang
Ash Brannon
Frank Oz
Jay Roach
Luc Besson
Michael Patrick King
Bibo Bergeron
Sergey Bodrov
Wally Pfister
Rupert Wyatt
Mark Waters
John Moore
John Lee Hancock
Renny Harlin
Phil Lord
Tony Bancroft
Ben Stiller
Timur Bekmambetov
Walt Becker
Dennis Dugan
Sydney Pollack
Thor Freudenthal
Brian De Palma
Mick Jackson
Alan J. Pakula
Kathryn Bigelow
John Milius
Gary Ross
Paul W.S. Anderson
Genndy Tartakovsky
Kevin Lima
Daniel Espinosa
Nancy Meyers
Roger Allers
Neil Burger
Jean-Jacques Annaud
Sarah Smith
Martin Brest
Andrew Davis
Bob Fosse
Tarsem Singh
Edgar Wright
Jon Amiel
Peter Segal
Pete Travis
George A. Romero
Sylvester Stallone
Todd Phillips
Gary Winick
Mimi Leder
Seth Gordon
Adam Shankman
D.J. Caruso
Anthony Minghella
Albert Hughes
Les Mayfield
Joe Pytka
Scott Derrickson
Ivan Reitman
Eric Brevig
Kelly Asbury
Stephen Hopkins
Jonathan Demme
James Algar
Vincent Ward
Steven Brill
Terry Gilliam
Lucile Hadzihalilovic
Roger Christian
Joe Dante
Kevin Costner
Antony Hoffman
Jacques Perrin
Cody Cameron
John Singleton
Oliver Hirschbiegel
Des McAnuff
Yarrow Cheney
Stephen Norrington
Pierre Coffin
David Kellogg
Mike Nichols
F. Gary Gray
Antoine Fuqua
Robert Luketic
Gil Kenan
Barry Levinson
Jerry Zucker
Andy Tennant
Florent-Emilio Siri
Don Bluth
Ron Shelton
David Pastor
Henry Selick
Kyle Balda
Clay Kaytis
Judd Apatow
Steve Carr
Mel Gibson
David Silverman
Frank Darabont
Betty Thomas
Garry Marshall
Paul Tibbitt
Clark Johnson
Cameron Crowe
Randall Wallace
Jonathan Frakes
George Clooney
Gary Shore
Andrzej Bartkowiak
M?ùns M?ùrlind
Gregory Hoblit
Gary McKendry
Wych Kaosayananda
Mikael Salomon
Bobby Farrelly
Kerry Conran
Michael Caton-Jones
Mikael H?ùfstr??m
Phil Alden Robinson
David Slade
Joseph Ruben
Seth MacFarlane
Alejandro Amen?≠bar
Kinka Usher
Craig Gillespie
Rob Bowman
Doug Lefler
Scott Waugh
Lawrence Kasdan
Michael Lembeck
Tom Hooper
Nora Ephron
Angelina Jolie Pitt
Clint Eastwood
Larry Charles
Stanley Kubrick
Will Gluck
Glenn Ficarra
David S. Goyer
Taylor Hackford
Michael Lehmann
Stuart Beattie
Roman Polanski
Frank Miller
Baltasar Korm?≠kur
Daniel Lee
Rob Reiner
Marco Schnabel
Demian Lichtenstein
Josh Gordon
Tim Hill
David Frankel
Brenda Chapman
Marc Lawrence
Peter Billingsley
Ryan Murphy
Robert Redford
Jay Russell
Kenny Ortega
David McNally
Brian Robbins
Brian Levant
Steven Zaillian
Chris Butler
Jon Avnet
Sam Fell
Kevin Donovan
Geoff Murphy
David O. Russell
Babak Najafi
Jean-Pierre Jeunet
Graham Annable
Griffin Dunne
John Pasquin
Ruben Fleischer
Harold Ramis
Kevin Macdonald
Donald Petrie
Jorge Blanco
Stuart Baird
Joel Coen
Robert Lorenz
Harold Becker
Scott Stewart
Patrick Gilmore
Tony Bill
Rod Lurie
Walter Hill
Akiva Goldsman
